catalog,detaillink,location,name,number,time
产品/项目类,position_detail.php?id=30892&keywords=&tid=0&lid=0,深圳,MIG18-资深产品运营经理（深圳）,1,2017-06-15
技术类,position_detail.php?id=29318&keywords=&tid=0&lid=0,成都,SA-腾讯社交广告电商广告产品运营经理（深圳）,3,2017-06-16
产品/项目类,position_detail.php?id=30855&keywords=&tid=0&lid=0,成都,15575-《王者荣耀》商业化运营（成都）,1,2017-06-15
产品/项目类,position_detail.php?id=24983&keywords=&tid=0&lid=0,深圳,16811-IP业务流程管理（深圳）,1,2017-06-16
产品/项目类,position_detail.php?id=30870&keywords=&tid=0&lid=0,北京,21000-自制剧商业制片人(北京),1,2017-06-15
产品/项目类,position_detail.php?id=30398&keywords=&tid=0&lid=0,深圳,18403-数据分析产品经理,1,2017-06-17
产品/项目类,position_detail.php?id=30899&keywords=&tid=0&lid=0,成都,MIG01-数据工程师,1,2017-06-16
市场类,position_detail.php?id=29856&keywords=&tid=0&lid=0,北京,19332-高级Web后台开发工程师(上海),4,2017-06-16
产品/项目类,position_detail.php?id=30916&keywords=&tid=0&lid=0,成都,GY0-数据分析工程师（深圳）,1,2017-06-16
技术类,position_detail.php?id=27760&keywords=&tid=0&lid=0,深圳,18402-手游商业化与本地化策划（深圳）,1,2017-06-17
市场类,position_detail.php?id=29324&keywords=&tid=0&lid=0,北京,22086-体育电商运营（北京）,2,2017-06-17
设计类,position_detail.php?id=28240&keywords=&tid=0&lid=0,成都,21645-腾讯互联网金融高级法律顾问（第三方支付方向）,1,2017-06-17
技术类,position_detail.php?id=30897&keywords=&tid=0&lid=0,深圳,MIG01-数据工程师,1,2017-06-16
内容编辑类,position_detail.php?id=28613&keywords=&tid=0&lid=0,北京,MIG03-电脑管家客户端开发工程师,1,2017-06-17
产品/项目类,position_detail.php?id=29843&keywords=&tid=0&lid=0,深圳,18404-移动游戏商业化和活动设计,1,2017-06-17
技术类,position_detail.php?id=30919&keywords=&tid=0&lid=0,深圳,SNG16-QQ音乐绿钻产品策划经理（深圳）,1,2017-06-17
技术类,position_detail.php?id=29364&keywords=&tid=0&lid=0,深圳,GY0-数据平台组Web前端开发（深圳）,1,2017-06-17
产品/项目类,position_detail.php?id=29650&keywords=&tid=0&lid=0,深圳,18402-移动游戏行业分析师,1,2017-06-17
技术类,position_detail.php?id=28580&keywords=&tid=0&lid=0,深圳,20718-智能硬件高级营销策划,1,2017-06-16
设计类,position_detail.php?id=28532&keywords=&tid=0&lid=0,深圳,21229-高级游戏市场产品分析（上海）,1,2017-06-16
